match_id,team_name,press_pct,progressive_passes,key_passes,crosses
1,Bournemouth,0.2597402597402597,126.0,0.0,0.0
1,Liverpool,0.3939393939393939,146.0,0.0,0.0
2,Aston Villa,0.22950819672131148,129.0,0.0,0.0
2,Newcastle,0.3333333333333333,139.0,0.0,0.0
3,Brighton,0.35384615384615387,123.0,0.0,0.0
3,Fulham,0.3111111111111111,130.0,0.0,0.0
4,Sunderland,0.24074074074074073,119.0,0.0,0.0
4,West Ham,0.42592592592592593,144.0,0.0,0.0
5,Burnley,0.28205128205128205,84.0,0.0,0.0
5,Tottenham,0.22727272727272727,146.0,0.0,0.0
6,Man City,0.2857142857142857,123.0,0.0,0.0
6,Wolves,0.3787878787878788,122.0,0.0,0.0
7,Chelsea,0.4827586206896552,117.0,0.0,0.0
7,Crystal Palace,0.18181818181818182,98.0,0.0,0.0
8,Brentford,0.19696969696969696,133.0,0.0,0.0
8,Nottingham Forest,0.296875,135.0,0.0,0.0
9,Arsenal,0.19672131147540983,113.0,0.0,0.0
9,Man Utd,0.24615384615384617,138.0,0.0,0.0
10,Everton,0.22448979591836735,140.0,0.0,0.0
10,Leeds,0.3898305084745763,122.0,0.0,0.0
11,Chelsea,0.24074074074074073,141.0,0.0,0.0
11,West Ham,0.25,113.0,0.0,0.0
12,Man City,0.4153846153846154,136.0,0.0,0.0
12,Tottenham,0.2857142857142857,132.0,0.0,0.0
13,Bournemouth,0.40816326530612246,134.0,0.0,0.0
13,Wolves,0.22807017543859648,122.0,0.0,0.0
14,Aston Villa,0.23333333333333334,143.0,0.0,0.0
14,Brentford,0.29069767441860467,87.0,0.0,0.0
15,Burnley,0.3013698630136986,125.0,0.0,0.0
15,Sunderland,0.2222222222222222,160.0,0.0,0.0
16,Arsenal,0.4528301886792453,128.0,0.0,0.0
16,Leeds,0.12962962962962962,76.0,0.0,0.0
17,Crystal Palace,0.3333333333333333,127.0,0.0,0.0
17,Nottingham Forest,0.26153846153846155,154.0,0.0,0.0
18,Brighton,0.31666666666666665,125.0,0.0,0.0
18,Everton,0.21052631578947367,131.0,0.0,0.0
19,Fulham,0.3877551020408163,108.0,0.0,0.0
19,Man Utd,0.3829787234042553,110.0,0.0,0.0
20,Liverpool,0.30434782608695654,145.0,0.0,0.0
20,Newcastle,0.23214285714285715,95.0,0.0,0.0
21,Chelsea,0.35,145.0,0.0,0.0
21,Fulham,0.28169014084507044,130.0,0.0,0.0
22,Burnley,0.20634920634920634,120.0,0.0,0.0
22,Man Utd,0.2835820895522388,133.0,0.0,0.0
23,Brentford,0.11363636363636363,115.0,0.0,0.0
23,Sunderland,0.42857142857142855,136.0,0.0,0.0
24,Bournemouth,0.3333333333333333,125.0,0.0,0.0
24,Tottenham,0.18461538461538463,185.0,0.0,0.0
25,Everton,0.42105263157894735,149.0,0.0,0.0
25,Wolves,0.14634146341463414,161.0,0.0,0.0
26,Leeds,0.3013698630136986,116.0,0.0,0.0
26,Newcastle,0.25806451612903225,181.0,0.0,0.0
27,Brighton,0.27941176470588236,102.0,0.0,0.0
27,Man City,0.2,126.0,0.0,0.0
28,Nottingham Forest,0.4142857142857143,147.0,0.0,0.0
28,West Ham,0.11475409836065574,93.0,0.0,0.0
29,Arsenal,0.3684210526315789,102.0,0.0,0.0
29,Liverpool,0.35714285714285715,135.0,0.0,0.0
30,Aston Villa,0.4727272727272727,141.0,0.0,0.0
30,Crystal Palace,0.13157894736842105,111.0,0.0,0.0
31,Arsenal,0.4067796610169492,123.0,0.0,0.0
31,Nottingham Forest,0.3090909090909091,106.0,0.0,0.0
32,Bournemouth,0.23880597014925373,124.0,0.0,0.0
32,Brighton,0.2571428571428571,137.0,0.0,0.0
33,Crystal Palace,0.2,152.0,0.0,0.0
33,Sunderland,0.31666666666666665,137.0,0.0,0.0
34,Aston Villa,0.19642857142857142,100.0,0.0,0.0
34,Everton,0.35294117647058826,116.0,0.0,0.0
35,Fulham,0.2835820895522388,140.0,0.0,0.0
35,Leeds,0.20634920634920634,118.0,0.0,0.0
36,Newcastle,0.33962264150943394,162.0,0.0,0.0
36,Wolves,0.2191780821917808,125.0,0.0,0.0
37,Tottenham,0.24528301886792453,148.0,0.0,0.0
37,West Ham,0.3673469387755102,111.0,0.0,0.0
38,Brentford,0.24528301886792453,100.0,0.0,0.0
38,Chelsea,0.3709677419354839,112.0,0.0,0.0
39,Burnley,0.22641509433962265,98.0,0.0,0.0
39,Liverpool,0.2222222222222222,159.0,0.0,0.0
40,Man City,0.3283582089552239,120.0,0.0,0.0
40,Man Utd,0.3,152.0,0.0,0.0
41,Everton,0.3194444444444444,120.0,0.0,0.0
41,Liverpool,0.2318840579710145,133.0,0.0,0.0
42,Brighton,0.30666666666666664,116.0,0.0,0.0
42,Tottenham,0.36363636363636365,151.0,0.0,0.0
43,Burnley,0.2,104.0,0.0,0.0
43,Nottingham Forest,0.3,141.0,0.0,0.0
44,Crystal Palace,0.13846153846153847,128.0,0.0,0.0
44,West Ham,0.34615384615384615,117.0,0.0,0.0
45,Leeds,0.2,131.0,0.0,0.0
45,Wolves,0.3902439024390244,158.0,0.0,0.0
46,Chelsea,0.171875,117.0,0.0,0.0
46,Man Utd,0.35526315789473684,130.0,0.0,0.0
47,Brentford,0.3269230769230769,124.0,0.0,0.0
47,Fulham,0.1935483870967742,116.0,0.0,0.0
48,Bournemouth,0.2558139534883721,146.0,0.0,0.0
48,Newcastle,0.2602739726027397,143.0,0.0,0.0
49,Aston Villa,0.3111111111111111,126.0,0.0,0.0
49,Sunderland,0.3018867924528302,85.0,0.0,0.0
50,Arsenal,0.25,140.0,0.0,0.0
50,Man City,0.3064516129032258,108.0,0.0,0.0
51,Brentford,0.3333333333333333,132.0,0.0,0.0
51,Man Utd,0.1896551724137931,132.0,0.0,0.0
52,Brighton,0.38571428571428573,99.0,0.0,0.0
52,Chelsea,0.21428571428571427,128.0,0.0,0.0
53,Crystal Palace,0.2,126.0,0.0,0.0
53,Liverpool,0.3492063492063492,172.0,0.0,0.0
54,Bournemouth,0.2702702702702703,142.0,0.0,0.0
54,Leeds,0.21739130434782608,119.0,0.0,0.0
55,Burnley,0.2,93.0,0.0,0.0
55,Man City,0.3111111111111111,104.0,0.0,0.0
56,Nottingham Forest,0.38333333333333336,176.0,0.0,0.0
56,Sunderland,0.2,123.0,0.0,0.0
57,Tottenham,0.2647058823529412,128.0,0.0,0.0
57,Wolves,0.18666666666666668,139.0,0.0,0.0
58,Aston Villa,0.2727272727272727,113.0,0.0,0.0
58,Fulham,0.20588235294117646,124.0,0.0,0.0
59,Arsenal,0.23809523809523808,134.0,0.0,0.0
59,Newcastle,0.24,111.0,0.0,0.0
60,Everton,0.39285714285714285,126.0,0.0,0.0
60,West Ham,0.24193548387096775,128.0,0.0,0.0
61,Bournemouth,0.4084507042253521,171.0,0.0,0.0
61,Fulham,0.19117647058823528,147.0,0.0,0.0
62,Leeds,0.28169014084507044,150.0,0.0,0.0
62,Tottenham,0.3050847457627119,120.0,0.0,0.0
63,Arsenal,0.36666666666666664,115.0,0.0,0.0
63,West Ham,0.14285714285714285,84.0,0.0,0.0
64,Man Utd,0.32857142857142857,139.0,0.0,0.0
64,Sunderland,0.20588235294117646,138.0,0.0,0.0
65,Chelsea,0.24358974358974358,143.0,0.0,0.0
65,Liverpool,0.35384615384615387,141.0,0.0,0.0
66,Aston Villa,0.20967741935483872,130.0,0.0,0.0
66,Burnley,0.3132530120481928,98.0,0.0,0.0
67,Crystal Palace,0.21428571428571427,135.0,0.0,0.0
67,Everton,0.3561643835616438,142.0,0.0,0.0
68,Newcastle,0.4,137.0,0.0,0.0
68,Nottingham Forest,0.2,139.0,0.0,0.0
69,Brighton,0.28169014084507044,158.0,0.0,0.0
69,Wolves,0.25,119.0,0.0,0.0
70,Brentford,0.4666666666666667,112.0,0.0,0.0
70,Man City,0.3114754098360656,117.0,0.0,0.0
71,Chelsea,0.30985915492957744,118.0,0.0,0.0
71,Nottingham Forest,0.328125,141.0,0.0,0.0
72,Brighton,0.3939393939393939,125.0,0.0,0.0
72,Newcastle,0.18032786885245902,143.0,0.0,0.0
73,Burnley,0.19672131147540983,97.0,0.0,0.0
73,Leeds,0.3620689655172414,146.0,0.0,0.0
74,Bournemouth,0.328125,122.0,0.0,0.0
74,Crystal Palace,0.3150684931506849,141.0,0.0,0.0
75,Everton,0.24193548387096775,100.0,0.0,0.0
75,Man City,0.38181818181818183,133.0,0.0,0.0
76,Sunderland,0.16363636363636364,126.0,0.0,0.0
76,Wolves,0.45614035087719296,133.0,0.0,0.0
77,Arsenal,0.36363636363636365,161.0,0.0,0.0
77,Fulham,0.1,126.0,0.0,0.0
78,Aston Villa,0.25,102.0,0.0,0.0
78,Tottenham,0.2916666666666667,104.0,0.0,0.0
79,Liverpool,0.2127659574468085,170.0,0.0,0.0
79,Man Utd,0.1568627450980392,129.0,0.0,0.0
80,Brentford,0.24561403508771928,141.0,0.0,0.0
80,West Ham,0.2830188679245283,123.0,0.0,0.0
81,Leeds,0.24285714285714285,131.0,0.0,0.0
81,West Ham,0.3870967741935484,141.0,0.0,0.0
82,Chelsea,0.19230769230769232,133.0,0.0,0.0
82,Sunderland,0.2037037037037037,119.0,0.0,0.0
83,Fulham,0.2676056338028169,122.0,0.0,0.0
83,Newcastle,0.44776119402985076,124.0,0.0,0.0
84,Brighton,0.3,128.0,0.0,0.0
84,Man Utd,0.4090909090909091,127.0,0.0,0.0
85,Brentford,0.2727272727272727,125.0,0.0,0.0
85,Liverpool,0.2898550724637681,166.0,0.0,0.0
86,Arsenal,0.34545454545454546,145.0,0.0,0.0
86,Crystal Palace,0.208955223880597,142.0,0.0,0.0
87,Aston Villa,0.14814814814814814,135.0,0.0,0.0
87,Man City,0.36923076923076925,104.0,0.0,0.0
88,Bournemouth,0.26153846153846155,122.0,0.0,0.0
88,Nottingham Forest,0.29577464788732394,160.0,0.0,0.0
89,Burnley,0.24,119.0,0.0,0.0
89,Wolves,0.36923076923076925,145.0,0.0,0.0
90,Everton,0.3939393939393939,131.0,0.0,0.0
90,Tottenham,0.12121212121212122,104.0,0.0,0.0
91,Brighton,0.3387096774193548,123.0,0.0,0.0
91,Leeds,0.28,126.0,0.0,0.0
92,Arsenal,0.26229508196721313,126.0,0.0,0.0
92,Burnley,0.36,122.0,0.0,0.0
93,Brentford,0.2753623188405797,154.0,0.0,0.0
93,Crystal Palace,0.30303030303030304,129.0,0.0,0.0
94,Fulham,0.22916666666666666,149.0,0.0,0.0
94,Wolves,0.23728813559322035,126.0,0.0,0.0
95,Man Utd,0.2361111111111111,182.0,0.0,0.0
95,Nottingham Forest,0.3287671232876712,147.0,0.0,0.0
96,Chelsea,0.45054945054945056,140.0,0.0,0.0
96,Tottenham,0.27380952380952384,150.0,0.0,0.0
97,Aston Villa,0.2619047619047619,129.0,0.0,0.0
97,Liverpool,0.28,136.0,0.0,0.0
98,Newcastle,0.32,188.0,0.0,0.0
98,West Ham,0.16923076923076924,119.0,0.0,0.0
99,Bournemouth,0.3,133.0,0.0,0.0
99,Man City,0.24074074074074073,110.0,0.0,0.0
100,Everton,0.14754098360655737,124.0,0.0,0.0
100,Sunderland,0.3333333333333333,163.0,0.0,0.0
101,Man Utd,0.2777777777777778,126.0,0.0,0.0
101,Tottenham,0.34523809523809523,142.0,0.0,0.0
102,Everton,0.32727272727272727,124.0,0.0,0.0
102,Fulham,0.22580645161290322,110.0,0.0,0.0
103,Burnley,0.2835820895522388,128.0,0.0,0.0
103,West Ham,0.19696969696969696,126.0,0.0,0.0
104,Arsenal,0.37254901960784315,132.0,0.0,0.0
104,Sunderland,0.21428571428571427,106.0,0.0,0.0
105,Chelsea,0.32727272727272727,144.0,0.0,0.0
105,Wolves,0.2222222222222222,125.0,0.0,0.0
106,Aston Villa,0.45614035087719296,113.0,0.0,0.0
106,Bournemouth,0.2923076923076923,83.0,0.0,0.0
107,Brentford,0.3375,149.0,0.0,0.0
107,Newcastle,0.24561403508771928,154.0,0.0,0.0
108,Brighton,0.3582089552238806,137.0,0.0,0.0
108,Crystal Palace,0.2972972972972973,129.0,0.0,0.0
109,Leeds,0.234375,138.0,0.0,0.0
109,Nottingham Forest,0.20512820512820512,139.0,0.0,0.0
110,Liverpool,0.5102040816326531,122.0,0.0,0.0
110,Man City,0.2711864406779661,95.0,0.0,0.0
111,Burnley,0.29508196721311475,121.0,0.0,0.0
111,Chelsea,0.3287671232876712,129.0,0.0,0.0
112,Bournemouth,0.41975308641975306,152.0,0.0,0.0
112,West Ham,0.15151515151515152,107.0,0.0,0.0
113,Brentford,0.19753086419753085,120.0,0.0,0.0
113,Brighton,0.38271604938271603,146.0,0.0,0.0
114,Fulham,0.2692307692307692,135.0,0.0,0.0
114,Sunderland,0.2153846153846154,117.0,0.0,0.0
115,Liverpool,0.37254901960784315,173.0,0.0,0.0
115,Nottingham Forest,0.19696969696969696,103.0,0.0,0.0
116,Crystal Palace,0.2777777777777778,141.0,0.0,0.0
116,Wolves,0.3333333333333333,113.0,0.0,0.0
117,Man City,0.3050847457627119,122.0,0.0,0.0
117,Newcastle,0.3770491803278688,111.0,0.0,0.0
118,Aston Villa,0.1794871794871795,145.0,0.0,0.0
118,Leeds,0.3854166666666667,141.0,0.0,0.0
119,Arsenal,0.4444444444444444,130.0,0.0,0.0
119,Tottenham,0.11940298507462686,128.0,0.0,0.0
120,Everton,0.15789473684210525,108.0,0.0,0.0
120,Man Utd,0.32857142857142857,139.0,0.0,0.0
121,Brentford,0.35714285714285715,137.0,0.0,0.0
121,Burnley,0.25757575757575757,138.0,0.0,0.0
122,Leeds,0.3088235294117647,119.0,0.0,0.0
122,Man City,0.3333333333333333,119.0,0.0,0.0
123,Bournemouth,0.22857142857142856,149.0,0.0,0.0
123,Sunderland,0.3188405797101449,132.0,0.0,0.0
124,Everton,0.4142857142857143,146.0,0.0,0.0
124,Newcastle,0.22033898305084745,132.0,0.0,0.0
125,Fulham,0.25,113.0,0.0,0.0
125,Tottenham,0.43243243243243246,136.0,0.0,0.0
126,Crystal Palace,0.3333333333333333,125.0,0.0,0.0
126,Man Utd,0.2898550724637681,164.0,0.0,0.0
127,Aston Villa,0.3389830508474576,124.0,0.0,0.0
127,Wolves,0.208955223880597,106.0,0.0,0.0
128,Brighton,0.2345679012345679,143.0,0.0,0.0
128,Nottingham Forest,0.24705882352941178,158.0,0.0,0.0
129,Liverpool,0.18518518518518517,157.0,0.0,0.0
129,West Ham,0.2833333333333333,117.0,0.0,0.0
130,Arsenal,0.1864406779661017,131.0,0.0,0.0
130,Chelsea,0.2978723404255319,111.0,0.0,0.0
131,Bournemouth,0.19298245614035087,152.0,0.0,0.0
131,Everton,0.24615384615384617,133.0,0.0,0.0
132,Fulham,0.24,137.0,0.0,0.0
132,Man City,0.36619718309859156,117.0,0.0,0.0
133,Newcastle,0.4868421052631579,121.0,0.0,0.0
133,Tottenham,0.19696969696969696,126.0,0.0,0.0
134,Arsenal,0.4050632911392405,147.0,0.0,0.0
134,Brentford,0.13333333333333333,122.0,0.0,0.0
135,Aston Villa,0.2857142857142857,123.0,0.0,0.0
135,Brighton,0.5070422535211268,120.0,0.0,0.0
136,Burnley,0.36363636363636365,145.0,0.0,0.0
136,Crystal Palace,0.19230769230769232,142.0,0.0,0.0
137,Nottingham Forest,0.3220338983050847,135.0,0.0,0.0
137,Wolves,0.136986301369863,118.0,0.0,0.0
138,Chelsea,0.22807017543859648,144.0,0.0,0.0
138,Leeds,0.28205128205128205,108.0,0.0,0.0
139,Liverpool,0.3728813559322034,178.0,0.0,0.0
139,Sunderland,0.2909090909090909,112.0,0.0,0.0
140,Man Utd,0.2916666666666667,173.0,0.0,0.0
140,West Ham,0.3026315789473684,131.0,0.0,0.0
141,Arsenal,0.3076923076923077,122.0,0.0,0.0
141,Aston Villa,0.32142857142857145,119.0,0.0,0.0
142,Bournemouth,0.24358974358974358,131.0,0.0,0.0
142,Chelsea,0.27848101265822783,165.0,0.0,0.0
143,Everton,0.2535211267605634,111.0,0.0,0.0
143,Nottingham Forest,0.25757575757575757,128.0,0.0,0.0
144,Man City,0.32727272727272727,124.0,0.0,0.0
144,Sunderland,0.2647058823529412,116.0,0.0,0.0
145,Burnley,0.16071428571428573,96.0,0.0,0.0
145,Newcastle,0.3382352941176471,187.0,0.0,0.0
146,Brentford,0.25675675675675674,119.0,0.0,0.0
146,Tottenham,0.2948717948717949,138.0,0.0,0.0
147,Leeds,0.2631578947368421,119.0,0.0,0.0
